CodigoCentroSaida,TipoTraco,TipoLancamento,Aglomerante,DataProjecao,MPaAcimaPeriodosReais,MPaAcimaPeriodosProjetados,PercentualAbaixoPeriodosReais,PercentualAbaixoPeriodosProjetados,UltimaAlteracaoDesvioImpactouDadosReais,AlteracaoDesvio
51020,E,B,28051.0,2016-07-15 08:33:14.490,0.0,0.0,0.0,0.0,False,INDEFINIDO
51020,N,B,28051.0,2016-07-15 09:46:45.890,0.0,0.23427902334464168,0.0,50.0,False,INDEFINIDO
51020,E,B,29051.0,2016-07-15 09:31:04.333,0.0,7.571947774107199,0.0,0.0,False,INDEFINIDO
51120,E,B,60051.0,2016-07-15 11:25:28.113,0.0,4.144743762309125,0.0,9.090909090909092,False,INDEFINIDO
51120,N,B,60051.0,2016-07-15 15:14:47.480,0.0,4.636732525510745,0.0,0.0,False,INDEFINIDO
60020,N,B,66051.0,2016-07-15 12:29:39.310,0.0,6.049400800424647,0.0,0.0,False,INDEFINIDO
60020,E,B,66051.0,2016-07-15 14:33:58.270,0.0,6.978541349063831,0.0,0.0,False,INDEFINIDO
80020,E,C,70051.0,2016-07-15 13:41:43.457,0.0,17.986293349308145,0.0,0.0,False,INDEFINIDO
80020,N,C,70051.0,2016-07-15 14:41:39.070,0.0,5.036418672093998,0.0,0.0,False,INDEFINIDO
51120,N,C,61051.0,2016-07-15 14:13:06.380,0.0,2.3320275840718643,0.0,0.0,False,INDEFINIDO
51020,N,B,72051.0,2016-07-15 15:42:34.030,0.0,7.4587555228217965,0.0,0.0,False,INDEFINIDO
79120,N,B,68051.0,2016-07-15 07:47:53.390,0.0,3.3942722401088745,0.0,0.0,False,INDEFINIDO
79120,E,B,68051.0,2016-07-15 08:09:46.380,0.0,6.169036909539651,0.0,0.0,False,INDEFINIDO
148020,N,C,71051.0,2016-07-15 07:49:18.410,0.0,4.489332809022126,0.0,33.33333333333333,False,INDEFINIDO
79120,E,B,64051.0,2016-07-15 09:15:11.840,0.0,2.274857080368802,0.0,0.0,False,INDEFINIDO
79120,N,B,69051.0,2016-07-15 12:42:07.763,0.0,1.4688938781915297,0.0,0.0,False,INDEFINIDO
51120,E,B,61051.0,2016-07-22 07:14:03.750,0.0,0.0,0.0,0.0,False,INDEFINIDO
51120,N,C,61051.0,2016-07-22 13:03:15.943,0.0,3.3188283368779268,0.0,8.823529411764707,False,DIMINUIU POUCO
51020,N,B,72051.0,2016-07-22 07:39:31.247,0.0,7.884338045513385,0.0,0.0,False,MANTEVE
51020,E,B,72051.0,2016-07-22 12:29:38.847,0.0,0.0,0.0,0.0,False,INDEFINIDO
51120,N,B,60051.0,2016-07-22 08:17:15.170,0.0,5.341484617608053,0.0,0.0,False,MANTEVE
51120,E,B,60051.0,2016-07-22 06:56:52.553,0.0,5.980719406753847,0.0,4.166666666666666,False,MANTEVE
51020,E,B,29051.0,2016-07-22 09:22:06.940,0.0,5.793184670557142,0.0,0.0,False,MANTEVE
51020,N,C,29051.0,2016-07-22 08:04:12.413,0.0,1.8163584678281153,0.0,15.789473684210526,False,INDEFINIDO
80020,N,C,70051.0,2016-07-22 07:11:03.580,0.0,6.846961120657261,0.0,3.125,False,DIMINUIU POUCO
80020,E,B,70051.0,2016-07-22 07:45:58.320,0.0,17.80863630178856,0.0,0.0,False,MANTEVE
79120,N,C,68051.0,2016-07-22 07:25:27.480,0.0,2.4935648442341733,0.0,6.8181818181818175,False,MANTEVE
79120,E,B,68051.0,2016-07-22 13:52:28.090,0.0,5.218622643174209,0.0,0.0,False,DIMINUIU POUCO
148020,N,B,71051.0,2016-07-22 07:40:58.130,0.0,6.039338213343702,0.0,0.0,False,MANTEVE
148020,E,C,71051.0,2016-07-22 09:34:17.247,0.0,0.0,0.0,0.0,False,INDEFINIDO
51020,N,B,28051.0,2016-07-22 08:48:50.933,0.0,3.356398206474774,0.0,7.6923076923076925,False,DIMINUIU MUITO
51020,E,B,28051.0,2016-07-22 13:27:35.040,0.0,5.4637619653223135,0.0,0.0,False,DIMINUIU MUITO
60020,N,B,66051.0,2016-07-22 09:25:13.427,0.0,5.268605455254047,0.0,15.789473684210526,False,MANTEVE
60020,E,B,66051.0,2016-07-22 13:12:05.353,0.0,10.427277509279369,0.0,0.0,False,MANTEVE
79120,E,C,69051.0,2016-07-22 13:38:48.077,0.0,0.0,0.0,0.0,False,INDEFINIDO
51120,N,B,60051.0,2016-07-29 07:16:53.993,0.0,4.331603181039898,0.0,2.898550724637681,False,MANTEVE
51120,E,B,60051.0,2016-07-29 07:11:17.830,0.0,6.871904079557736,0.0,3.4482758620689653,False,AUMENTOU POUCO
51020,N,C,29051.0,2016-07-29 07:45:14.460,0.0,2.3095771216544283,0.0,7.894736842105263,False,MANTEVE
51020,E,C,29051.0,2016-07-29 09:28:07.353,0.0,5.721978609269592,0.0,0.0,False,MANTEVE
80020,N,B,70051.0,2016-07-29 17:05:12.190,0.0,5.456459630625536,0.0,1.25,False,DIMINUIU POUCO
80020,E,B,70051.0,2016-07-29 07:16:01.233,0.0,16.401646621532397,0.0,0.0,False,MANTEVE
79120,N,B,68051.0,2016-07-29 07:27:17.060,0.0,1.8226995898326022,0.0,17.045454545454543,False,MANTEVE
79120,E,B,68051.0,2016-07-29 12:32:59.680,0.0,5.155439648124818,0.0,0.0,False,MANTEVE
79120,E,C,69051.0,2016-07-29 08:46:57.767,0.0,0.0,0.0,0.0,False,DIMINUIU MUITO
148020,N,C,71051.0,2016-07-29 09:10:35.573,0.0,4.988467630292919,0.0,3.4482758620689653,False,MANTEVE
148020,E,B,71051.0,2016-07-29 09:22:32.603,0.0,8.240923087861637,0.0,0.0,False,MANTEVE
51120,N,C,61051.0,2016-07-29 12:08:16.983,0.0,3.4554672071576578,0.0,8.333333333333332,False,AUMENTOU MUITO
51120,E,B,61051.0,2016-07-29 10:12:16.740,0.0,0.0,0.0,0.0,False,AUMENTOU MUITO
51020,N,B,28051.0,2016-07-29 12:34:26.463,0.0,3.1837622362265625,0.0,8.333333333333332,False,MANTEVE
51020,E,B,28051.0,2016-07-29 06:52:55.037,0.0,5.4637619653223135,0.0,0.0,False,MANTEVE
79120,E,B,64051.0,2016-07-29 07:40:58.757,0.0,0.7062134071436766,0.0,44.44444444444444,False,INDEFINIDO
79120,N,B,64051.0,2016-07-29 10:43:02.003,0.0,5.474878027690522,0.0,0.0,False,INDEFINIDO
60020,E,B,66051.0,2016-07-29 09:24:42.237,0.0,9.703906363358932,0.0,0.0,False,AUMENTOU MUITO
60020,N,B,66051.0,2016-07-29 15:24:12.150,0.0,5.325956731548674,0.0,12.0,False,AUMENTOU MUITO
51120,N,B,60051.0,2016-08-05 06:52:34.583,5.5635849056603774,-5.789610690304621,0.0,33.035714285714285,True,MANTEVE
51120,E,B,60051.0,2016-08-05 07:13:31.443,4.4745333333333335,-6.034278511618902,9.090909090909092,40.74074074074074,False,AUMENTOU POUCO
51020,N,B,29051.0,2016-08-05 06:55:23.923,0.0,-9.144725991612123,0.0,46.25,False,MANTEVE
51020,E,B,29051.0,2016-08-05 11:06:21.603,9.526410256410255,-4.424981913219167,0.0,27.586206896551722,True,MANTEVE
