CodigoCentroSaida,CodigoGrupoInsumo,CodigoInsumo,CodigoFornecedor,Ativo,DensidadeReal,DensidadeAparente,DataAlteracao
51020,A,2,200350,S,2.591,1.121,2010-06-30 13:09:55.97
51020,A,2,200350,S,2.591,1.121,2010-06-30 13:37:06.517
51020,B,2,200350,S,2.681,1.423,2010-06-30 13:38:10.14
51020,B,1,200350,S,2.741,1.47,2010-06-30 13:38:30.92
51020,B,2,200350,S,2.681,1.423,2010-06-30 13:38:41.17
60020,A,2,200350,S,2.688,1.33,2010-06-30 13:39:16.75
60020,D,36,200350,S,1.21,1.21,2010-06-30 13:39:55.407
60020,D,12,200350,S,1.125,1.125,2010-06-30 13:40:06.877
51120,A,2,200350,S,2,1,2010-06-30 15:56:14.177
51120,B,1,200350,S,2,1,2010-06-30 15:58:34.05
51120,C,1,200350,S,2,1,2010-06-30 16:00:30.437
51120,E,1,200350,S,3.15,1.35,2010-06-30 16:01:16.307
51120,B,1,200350,S,2,1,2010-06-30 16:02:27.163
51120,B,3,200350,S,2,1,2010-06-30 16:02:39.227
51120,B,1,200350,S,2.74,1.47,2010-06-30 16:37:21.453
51120,B,1,200350,S,2.74,1.47,2010-06-30 16:37:31.95
51120,C,1,200350,S,3.15,1.35,2010-06-30 16:38:39.917
51120,D,12,200350,S,1.125,1.125,2010-06-30 16:39:05.383
51120,E,1,200350,S,2.95,1.35,2010-06-30 16:39:24.197
51120,F,10,200350,S,1,1,2010-06-30 16:40:33.427
60020,E,2,200350,S,2.2,1.35,2010-06-30 18:06:25.61
60020,E,2,200350,S,2.2,1.35,2010-06-30 18:10:13.803
51020,A,2,200350,S,2.591,1.121,2010-06-30 18:37:07.377
79020,B,1,200350,S,2.741,1.47,2010-06-30 19:01:43.76
51020,F,1,200350,S,0,0,2010-06-30 19:02:08.653
80020,B,2,200350,S,2.681,1.423,2010-06-30 19:05:24.783
51020,C,47,200350,S,3.15,1.35,2010-07-01 07:30:13.907
80020,A,2,200350,S,2.591,1.121,2010-07-02 06:36:03.563
80020,B,1,200350,S,2.618,1.331,2010-07-02 06:36:27.5
80020,D,10,200350,S,1.125,1.125,2010-07-02 06:36:56.42
80020,D,81,200350,S,1.21,1.21,2010-07-02 06:37:09.217
80020,F,1,200350,S,0,0,2010-07-02 06:37:23.153
80020,F,9,200350,S,0,0,2010-07-02 06:37:34.7
80020,F,2,200350,S,0,0,2010-07-02 06:37:43.81
79020,B,4,200350,S,2.688,1.376,2010-07-02 06:38:54.23
79020,B,6,200350,S,2.741,1.47,2010-07-02 06:39:05.447
79020,B,3,200350,S,2.681,1.423,2010-07-02 06:39:15.383
79020,F,9,200350,S,0,0,2010-07-02 06:40:03.133
79020,F,2,200350,S,0,0,2010-07-02 06:40:14.083
79020,F,5,200350,S,0,0,2010-07-02 06:40:22.147
51020,B,37,200350,S,4.167,2.218,2010-07-02 15:37:17.81
51120,B,37,200350,S,4.167,2.218,2010-07-02 15:39:53.413
51020,D,39,200350,N,0,0,2010-07-05 18:24:28.65
51020,D,39,200350,S,0,0,2010-07-05 18:25:05.79
51020,A,2,200350,S,2.591,1.121,2010-07-06 08:43:15.693
51020,B,4,200350,S,2.688,1.376,2010-07-06 08:45:19.673
51020,D,21,200350,S,0,0,2010-07-06 08:49:40.227
51120,A,2,200350,S,2.591,1.121,2010-07-06 09:00:35.577
51120,B,4,200350,S,2.688,1.376,2010-07-06 09:01:28.01
60020,B,4,200350,S,2.688,1.376,2010-07-06 09:22:49.43
60020,B,6,200350,S,2.741,1.47,2010-07-06 10:08:48.34
79020,B,4,200350,S,2.688,1.376,2010-07-06 10:11:29.337
79020,B,6,200350,S,2.741,1.47,2010-07-06 10:11:49.973
51020,D,21,200350,S,0,0,2010-07-06 15:10:36.797
79020,D,30,200350,S,1.18,1.18,2010-07-09 13:21:33.763
79020,D,30,200350,S,1.19,1.19,2010-07-09 13:23:33.98
60020,B,1,200350,S,2.741,1.47,2010-06-30 13:39:28.343
51120,B,3,200350,S,2,1,2010-06-30 15:59:15.423
51120,D,36,200350,S,1.21,1.21,2010-06-30 16:05:00.31
51120,F,1,200350,S,0,0,2010-06-30 16:07:48.333
51120,E,9,200350,S,2.95,1.35,2010-07-01 16:59:12.043
80020,F,10,200350,S,1,1,2010-07-02 06:38:06.98
79020,D,10,200350,S,1.125,1.125,2010-07-02 06:39:26.477
51020,D,10,200350,S,1.125,1.125,2010-07-02 09:24:56.487
