CodigoAglomerante,Idade,AbramsX,AbramsY,FCKFaixa1,DesvioFaixa1,DesvioTEFaixa1,FCKFaixa2,DesvioFaixa2,DesvioTEFaixa2,FCKFaixa3,DesvioFaixa3,DesvioTEFaixa3,FCKFaixa4,DesvioFaixa4,DesvioTEFaixa4,DesvioMaximo,DesvioTEMaximo,DataAlteracao
13051,0,1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2010-06-30 16:55:51.217
13051,28,-1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2010-06-30 16:55:51.233
14051,0,-1.3574,81.545,20,3,,25,3,,,,,,,,2.5,,2010-06-30 17:05:06.983
14051,28,-1.3574,81.545,20,3,,25,3,,,,,,,,2.5,,2010-06-30 17:05:07
3051,0,-1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2010-06-30 18:47:15.397
3051,28,-1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2010-06-30 18:47:15.427
14051,7,-1.7938,91.745,25,3.5,,,,,,,,,,,4,,2010-07-02 09:00:11.713
14051,7,-1.7938,91.745,25,3.5,,,,,,,,,,,3.5,,2010-07-02 09:02:32.867
3051,0,-1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2010-07-05 11:28:14.977
4051,0,-1.3574,81.545,20,3,,25,3,,,,,,,,2.5,,2010-07-05 11:31:09.187
5051,0,-1.4821,84.894,18,3.5,,25,3.5,,34,3.5,,,,,3.5,,2010-07-05 11:32:09.217
6051,0,-1.5731,88.937,18,4.5,,25,4,,34,4,,,,,3.5,,2010-07-05 11:32:48.777
7051,0,-1.3574,81.545,20,3,,25,3,,,,,,,,2.5,,2010-07-05 11:34:12.29
9051,0,-1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2010-07-05 11:41:41.523
10051,0,-1.3574,81.545,20,3,,25,3,,,,,,,,2.5,,2010-07-05 11:43:04.16
12051,0,-1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2010-07-05 11:44:10.783
8051,0,-1.4763,103.5,18,6,,25,5.5,,34,5.2,,,,,6,,2010-07-19 18:41:06.767
8051,28,-1.4763,103.5,18,6,,25,5.5,,34,5.2,,,,,6,,2010-07-19 18:41:06.797
7051,28,-1.3574,81.545,20,3,,25,3,,,,,,,,2.5,,2010-07-19 19:15:55.827
3051,0,-1.4763,103.5,18,5,,25,5,,34,4.7,,,,,5,,2010-07-26 07:44:25.047
3051,28,-1.4763,103.5,18,5,,25,5,,34,4.7,,,,,5,,2010-07-26 07:44:25.077
9051,0,-1.4763,103.5,18,6,,25,5.5,,34,5.2,,,,,6,,2010-07-26 07:47:29.96
9051,28,-1.4763,103.5,18,6,,25,5.5,,34,5.2,,,,,6,,2010-07-26 07:47:29.99
13051,0,-1.4763,103.5,18,5.8,,25,5.3,,34,5,,,,,5.8,,2010-07-26 07:53:26.43
13051,28,-1.4763,103.5,18,5.8,,25,5.3,,34,5,,,,,5.8,,2010-07-26 07:53:26.463
3051,0,-1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2010-07-26 18:05:00.85
3051,28,-1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2010-07-26 18:05:00.883
14051,3,-1.8982,76.554,20,3.5,,,,,,,,,,,3.5,,2010-07-30 15:01:16.183
14051,3,-1.8982,76.554,20,3.5,,,,,,,,,,,3.5,,2010-07-30 15:04:33.747
13051,0,-1.4763,103.5,18,5.8,,25,5.3,,34,5,,,,,5.8,,2010-08-04 15:41:03.323
9051,0,-1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2010-08-04 17:18:58.903
15051,0,-1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2010-08-11 09:34:57.16
15051,28,-1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2010-08-11 09:34:57.177
8051,0,-1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2010-08-16 11:40:54.567
8051,28,-1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2010-08-16 11:40:54.613
10051,0,-1.3574,81.545,20,2.5,,25,2.5,,,,,,,,2.5,,2010-09-03 12:21:25.403
10051,28,-1.3574,81.545,20,2.5,,25,2.5,,,,,,,,2.5,,2010-09-03 12:21:25.433
8051,0,-1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2010-09-06 13:17:56.977
8051,0,-1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2010-09-06 13:26:53.983
15051,0,-1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2010-09-11 15:05:14.613
7051,0,-1.3574,81.545,20,3,,25,3,,,,,,,,2.5,,2010-09-11 15:08:16.39
4051,0,-1.3574,81.545,20,3,,25,3,,,,,,,,2.5,,2010-09-11 15:10:25.733
5051,0,-1.4821,84.894,18,3,,25,3,,34,3,,,,,3,,2010-09-11 15:11:31.077
8051,0,-1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2010-09-11 15:15:02.933
9051,0,-1.4763,103.5,18,4.3,,25,3.8,,34,3.5,,,,,4.3,,2010-09-11 16:05:07.893
9051,28,-1.4763,103.5,18,4.3,,25,3.8,,34,3.5,,,,,4.3,,2010-09-11 16:05:07.927
9051,0,-1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2010-09-17 18:12:33.13
9051,28,-1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2010-09-17 18:12:33.16
4051,3,-1.8982,76.554,20,4,,,,,,,,,,,4,,2010-09-17 18:46:09.493
4051,7,-1.7938,91.745,25,4,,,,,,,,,,,4,,2010-09-17 18:46:09.527
4051,3,-1.8982,76.554,20,4,,,,,,,,,,,4,,2010-09-17 18:49:01.423
7051,3,-1.8982,76.554,20,4,,,,,,,,,,,4,,2010-09-17 18:49:54.14
7051,7,-1.7938,91.745,25,4,,,,,,,,,,,4,,2010-09-17 18:49:54.17
10051,3,-1.8982,76.554,20,4,,,,,,,,,,,4,,2010-09-17 18:50:58.01
10051,7,-1.7938,91.745,25,4,,,,,,,,,,,4,,2010-09-17 18:50:58.04
11051,3,-1.8982,75.554,20,4,,,,,,,,,,,4,,2010-09-17 18:53:44.657
11051,7,-1.7938,91.745,25,4,,,,,,,,,,,4,,2010-09-17 18:53:44.69
13051,0,-1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2010-06-30 17:05:30.297
8051,0,-1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2010-07-05 11:38:32.03
9051,28,-1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2010-08-04 17:18:58.92
3051,0,-1.4763,103.5,18,5,,25,5,,34,4.7,,,,,5,,2010-09-11 15:06:56.3
3051,0,-1.4763,103.5,18,5,,25,5,,34,4.7,,,,,5,,2010-09-11 15:09:34.11
15051,0,-1.4763,103.5,18,4.3,,25,3.8,,34,3.5,,,,,4.3,,2010-09-17 18:15:02.09
15051,28,-1.4763,103.5,18,4.3,,25,3.8,,34,3.5,,,,,4.3,,2010-09-17 18:15:02.12
14051,3,-1.8982,76.554,20,4,,,,,,,,,,,3.5,,2010-09-17 18:54:57.92
14051,7,-1.7938,91.745,25,4,,,,,,,,,,,4,,2010-09-17 18:54:57.95
10051,28,-1.3574,81.545,20,2.2,,25,2.2,,,,,,,,2.2,,2010-09-24 18:18:36.943
4051,28,-1.3574,81.545,20,2.7,,25,2.7,,,,,,,,2.5,,2010-09-24 18:21:16.297
11051,28,-1.3574,81.545,20,2.7,,25,2.7,,,,,,,,2.5,,2010-09-24 18:22:19.073
13051,0,-1.4763,103.5,18,5,,25,5,,34,4.7,,,,,5,,2010-10-13 19:09:10.82
13051,28,-1.4763,103.5,18,5,,25,5,,34,4.7,,,,,5,,2010-10-13 19:09:10.867
15051,0,-1.4763,103.5,18,4,,25,3.5,,34,3.2,,,,,4,,2010-10-13 19:20:46.8
15051,28,-1.4763,103.5,18,4,,25,3.5,,34,3.2,,,,,4,,2010-10-13 19:20:46.83
11051,3,-1.8982,75.554,20,4.5,,,,,,,,,,,4.5,,2010-10-19 18:19:26.683
4051,3,-1.8982,76.554,20,4.5,,,,,,,,,,,4.5,,2010-10-19 18:27:25.32
3051,28,-1.4763,103.5,18,5.5,,25,5,,34,4.7,,,,,5.5,,2010-10-19 18:29:03.563
7051,3,-1.8982,76.554,20,4.5,,,,,,,,,,,4.5,,2010-10-19 18:34:57.937
10051,3,-1.8982,76.554,20,4.5,,,,,,,,,,,4.5,,2010-10-19 18:42:55.26
10051,28,-1.3574,81.545,20,3,,25,3,,,,,,,,3,,2010-10-19 18:42:55.277
3051,28,-1.4763,103.5,18,5.5,,25,5,,34,4.7,,,,,5.5,,2010-10-20 13:38:01.41
12051,0,-1.4763,103.5,18,5.5,,25,5,,34,4.7,,,,,5.5,,2010-10-22 09:01:03.783
16051,28,1.4763,103.5,18,5.5,,25,5,,34,4.7,,,,,5.5,,2010-11-08 10:48:24.473
16051,0,-1.4763,103.5,18,5.5,,25,5,,34,4.7,,,,,5.5,,2010-11-08 10:48:24.473
16051,28,-1.4763,103.5,18,5.5,,25,5,,34,4.7,,,,,5.5,,2010-11-08 10:48:51.893
17051,0,81.545,-1.3574,20,2.5,,25,2.5,,,,,,,,2.5,,2010-12-30 13:00:21.833
17051,0,-1.3574,81.545,20,2.5,,25,2.5,,,,,,,,2.5,,2010-12-30 13:02:53.81
17051,3,-1.8982,76.554,20,4.5,,,,,,,,,,,4.5,,2010-12-30 13:06:33.55
17051,7,-1.7938,91.745,25,4,,,,,,,,,,,4,,2010-12-30 13:17:46.163
17051,28,-1.3574,81.545,20,3,,25,3,,,,,,,,3,,2010-12-30 13:17:46.177
18051,0,-1.4763,103.5,18,4,,25,3.3,,34,3,,,,,3.8,,2010-12-30 13:27:13.87
18051,28,-1.4763,103.5,18,4,,25,3.3,,34,3,,,,,3.8,,2010-12-30 13:27:13.87
17051,28,-1.3574,81.545,20,3,,25,3,,,,,,,,3,,2011-01-03 09:10:42.38
17051,7,-1.7938,91.745,25,4,,,,,,,,,,,4,,2011-01-03 09:10:57.35
17051,28,-1.3574,81.545,20,3,,25,3,,,,,,,,3,,2011-01-03 09:13:06.547
18051,0,-1.4763,103.5,18,4,,25,3.3,,34,3,,,,,3.8,,2011-01-03 09:13:29.983
18051,28,-1.4763,103.5,18,4,,25,3.3,,34,3,,,,,3.8,,2011-01-03 09:13:30
4051,7,-1.7938,91.745,25,4,,,,,,,,,,,3.7,,2011-01-03 18:20:16.387
4051,7,-1.7938,91.745,25,4,,,,,,,,,,,4,,2011-01-03 18:20:43.013
3051,0,-1.4763,103.5,18,4.8,,25,4.3,,34,4,,,,,5,,2011-01-31 11:06:00.4
3051,28,-1.4763,103.5,18,4.8,,25,4.3,,34,4,,,,,5,,2011-01-31 11:06:00.433
8051,0,-1.4763,103.5,18,5,,25,4,,34,4.2,,,,,5,,2011-01-31 11:42:39.88
8051,28,-1.4763,103.5,18,5,,25,4,,34,4.2,,,,,5,,2011-01-31 11:42:39.913
8051,0,-1.4763,103.5,18,5,,25,4,,34,4.2,,,,,5,,2011-01-31 11:43:52.05
8051,28,-1.4763,103.5,18,5,,25,4,,34,4.2,,,,,5,,2011-01-31 11:43:52.067
15051,0,-1.4763,103.5,18,3,,25,2.5,,34,2,,,,,3,,2011-01-31 12:24:47.097
15051,28,-1.4763,103.5,18,3,,25,2.5,,34,2,,,,,3,,2011-01-31 12:24:47.127
12051,0,-1.4763,103.5,18,4.8,,25,4.3,,34,4,,,,,5,,2011-01-31 13:58:05.737
12051,28,-1.4763,103.5,18,4.8,,25,4.3,,34,4,,,,,5,,2011-01-31 13:58:05.767
13051,0,-1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2011-01-31 14:07:57.443
13051,28,-1.4763,103.5,18,5,,25,4.5,,34,4.2,,,,,5,,2011-01-31 14:07:57.537
3051,0,-1.4763,103.5,18,4.8,,25,4.3,,34,4,,,,,5,,2011-02-16 12:31:33.24
19051,0,-1.4821,84.894,10,4,,15,4,,25,4,,30,4,,4,,2011-02-24 10:43:28.23
19051,28,-1.4821,84.894,10,4,,15,4,,25,4,,30,4,,4,,2011-02-24 10:43:28.23
19051,0,-1.4821,84.894,10,3,,15,3,,25,4,,30,4,,3,,2011-02-24 17:37:05.11
14051,3,-1.8982,76.554,20,3.5,,,,,,,,,,,3.5,,2010-07-02 08:58:40.093
7051,28,-1.3574,81.545,20,3,,25,3,,,,,,,,3,,2010-07-19 19:14:02.19
12051,0,-1.4763,103.5,18,4.7,,25,4.2,,34,3.9,,,,,4.7,,2010-09-27 18:26:27.62
12051,28,-1.4763,103.5,18,4.7,,25,4.2,,34,3.9,,,,,4.7,,2010-09-27 18:26:27.667
3051,28,-1.4763,103.5,18,5,,25,5,,34,4.2,,,,,5,,2010-10-13 18:48:44.287
19051,0,-1.4821,84.894,10,4,,15,4,,25,4,,30,4,,3,,2011-02-24 16:56:09.817
19051,28,-1.4821,84.894,10,4,,15,4,,25,4,,30,4,,3,,2011-02-24 16:56:09.847
19051,28,-1.4821,84.894,10,3,,15,3,,25,4,,30,4,,3,,2011-02-24 17:37:05.143
