CodigoAglomerante,Ano,Mes,ParametroX,ParametroY,DataAlteracao
3051,2010,6,2.405,-0.282,2010-07-09 08:47:36.923
3051,2010,6,2.405,-0.282,2010-07-09 08:49:22.373
3051,2010,7,2.405,-0.282,2010-07-09 08:53:40.973
4051,2010,7,1.9276,-0.183,2010-07-09 08:56:44.683
5051,2010,7,2.537,-0.322,2010-07-09 08:57:42.057
6051,2010,7,2.275,-0.209,2010-07-09 09:24:46.667
7051,2010,7,1.5411,-0.083,2010-07-09 09:27:07.803
8051,2010,7,2.706,-0.385,2010-07-09 09:28:07.05
9051,2010,7,2.565,-0.312,2010-07-09 09:30:55.23
10051,2010,7,1.952,-0.199,2010-07-09 09:32:26.29
13051,2010,7,2.834,-0.399,2010-07-09 09:36:01.843
14051,2010,7,1.952,-0.199,2010-07-09 09:36:51.64
3051,2010,7,2.3284,-0.226,2010-07-12 11:04:32.11
12051,2010,7,2.295,-0.2216,2010-07-12 11:08:54.303
3051,2010,7,2.4991,-0.3038,2010-07-17 12:28:05.22
4051,2010,7,1.9138,-0.1793,2010-07-17 12:29:42.47
13051,2010,7,2.3734,-0.2547,2010-07-17 12:30:37.127
14051,2010,7,1.9138,-0.1793,2010-07-17 12:32:52.917
11051,2010,7,1.9138,-0.1793,2010-07-17 12:34:41.78
9051,2010,7,2.6218,-0.3391,2010-07-17 12:37:37.7
3051,2010,7,2.6133,-0.3347,2010-07-30 17:41:20.217
8051,2010,7,2.8508,-0.4124,2010-07-30 18:34:48.023
9051,2010,7,2.6251,-0.3349,2010-07-30 18:50:53.143
3051,2010,7,2.6133,-0.3347,2010-07-30 19:12:18.48
8051,2010,7,2.8508,-0.4124,2010-07-30 19:15:25.11
9051,2010,7,2.6251,-0.3349,2010-07-30 19:16:39.227
12051,2010,7,3.1629,-0.508,2010-08-02 08:30:32.067
12051,2010,7,2.295,-0.222,2010-08-02 09:37:32.937
12051,2010,7,2.295,-0.222,2010-08-02 09:41:42.45
3051,2010,8,2.6133,-0.3347,2010-08-06 14:37:58.1
4051,2010,8,1.9138,-0.1793,2010-08-06 15:20:10.52
7051,2010,8,1.5411,-0.083,2010-08-06 15:23:42.423
8051,2010,8,2.8508,-0.4124,2010-08-06 15:24:26.767
9051,2010,8,2.6251,-0.3349,2010-08-06 15:26:26.03
12051,2010,8,3.1629,-0.508,2010-08-06 15:31:09.37
13051,2010,8,2.3734,-0.2547,2010-08-06 15:32:56.197
14051,2010,8,1.9138,-0.1793,2010-08-06 15:34:24.87
15051,2010,8,2.6251,-0.3349,2010-08-11 09:38:22.003
9051,2010,7,2.8657,-0.3981,2010-08-21 12:52:57.2
9051,2010,8,2.8657,-0.3981,2010-08-21 12:52:57.213
3051,2010,7,2.9113,-0.459,2010-08-28 09:19:23.523
3051,2010,8,2.9113,-0.459,2010-08-28 09:19:23.54
3051,2010,7,2.7813,-0.407,2010-08-28 09:22:10.393
3051,2010,8,2.7813,-0.407,2010-08-28 09:22:10.41
3051,2010,7,2.6133,-0.3347,2010-08-28 09:26:36.37
3051,2010,8,2.6133,-0.3347,2010-08-28 09:26:36.37
8051,2010,7,2.3514,-0.2493,2010-08-28 09:44:17.277
8051,2010,8,2.3514,-0.2493,2010-08-28 09:44:17.29
