CodigoNotaFiscal,CodigoCentroSaida,CodigoReceita,Volume,RelacaoAguaCimento,TipoLancamento,DataEmissaoNotaFiscal,CodigoCliente,CodigoMotorista,Status,QuantidadeAgua,QuantidadeAdicaoAgua,TempoPermanenciaObra,ConsumoTotal,FCK,TipoTraco,IdadeTraco,Aglomerante,Rompimento7Dias,Rompimento28Dias,DesvioUtilizado,Projecao
439185,60020,32973051,8.0,0.696,B,2017-01-02 07:06:34.277,131117051,643051,N,1464,,2017-01-02 01:31:00,2274.0,25.0,E,28,24051.0,0.0,0.0,7.0,0.0
439186,51020,28753051,9.0,0.779,B,2017-01-02 07:11:22.333,131194051,812051,C,1620,,,4772.0,20.0,N,28,29051.0,0.0,0.0,5.0,0.0
439187,51020,28096051,8.0,0.7040000000000001,B,2017-01-02 07:21:33.010,122899051,94079,N,1296,,2017-01-02 01:30:00,4256.0,25.0,N,28,29051.0,0.0,0.0,4.5,0.0
439189,60020,32973051,8.0,0.696,B,2017-01-02 07:48:07.593,131117051,518051,N,1464,70.0,2017-01-02 03:06:00,2274.0,25.0,E,28,24051.0,24.77,29.76,7.0,0.0
439190,51020,28753051,9.0,0.779,B,2017-01-02 07:48:49.830,131194051,812051,N,1620,,2017-01-02 02:25:00,4772.0,20.0,N,28,29051.0,23.09,29.25,5.0,0.0
439191,51020,28096051,8.0,0.7040000000000001,B,2017-01-02 08:00:40.603,122899051,419051,N,1296,,2017-01-02 02:46:00,4256.0,25.0,N,28,29051.0,0.0,0.0,4.5,0.0
439193,60020,32973051,8.0,0.696,B,2017-01-02 08:31:59.070,131117051,873051,C,1464,,2017-01-02 02:31:00,2274.0,25.0,E,28,24051.0,0.0,0.0,7.0,0.0
439194,51020,28096051,7.0,0.7040000000000001,B,2017-01-02 08:44:20.963,122899051,222051,N,1134,,2017-01-02 02:18:00,3724.0,25.0,N,28,29051.0,18.79,26.12,4.5,0.0
439197,60020,32973051,8.0,0.696,B,2017-01-02 09:03:48.483,131117051,624051,C,1464,,2017-01-02 02:00:00,2274.0,25.0,E,28,24051.0,0.0,0.0,7.0,0.0
439198,60020,32973051,6.0,0.696,B,2017-01-02 09:48:22.050,131117051,173051,N,1098,150.0,2017-01-02 02:36:00,1705.0,25.0,E,28,24051.0,0.0,0.0,7.0,0.0
439199,60020,32973051,6.0,0.696,B,2017-01-02 10:50:33.330,131117051,643051,N,1098,180.0,2017-01-02 02:13:00,1705.0,25.0,E,28,24051.0,15.14,17.9,7.0,0.0
439201,51120,22344051,4.5,0.7809999999999999,B,2017-01-02 12:14:37.160,115318051,900000008,N,797,,2017-01-02 00:30:00,1211.0,20.0,N,28,60051.0,0.0,0.0,5.0,0.0
439202,79120,29051051,6.0,0.853,C,2017-01-02 12:26:05.263,74510051,65079,N,972,70.0,2017-01-02 00:43:00,2540.0,15.0,N,28,68051.0,9.95,14.79,6.0,0.0
439204,148020,31256051,4.5,0.7170000000000001,B,2017-01-02 13:14:08.123,127353051,42080,N,779,,2017-01-02 01:00:00,1223.0,20.0,N,28,71051.0,0.0,0.0,7.0,0.0
439205,79120,29051051,5.0,0.853,C,2017-01-02 13:42:34.837,74510051,399051,N,810,,2017-01-02 00:20:00,2118.0,15.0,N,28,68051.0,0.0,0.0,6.0,0.0
439207,148020,31256051,4.5,0.7170000000000001,B,2017-01-02 14:41:19.160,127353051,8148,C,810,,,1223.0,20.0,N,28,71051.0,0.0,0.0,7.0,0.0
439208,148020,31256051,5.5,0.7170000000000001,B,2017-01-02 15:04:49.077,127353051,8148,N,990,,2017-01-02 00:30:00,1495.0,20.0,N,28,71051.0,15.96,22.02,7.0,0.0
439209,51120,32333051,7.5,0.768,B,2017-01-02 15:09:26.357,127617051,812051,N,1365,,2017-01-02 02:07:00,4034.0,20.0,E,28,60051.0,0.0,0.0,6.0,
439210,60020,32973051,8.0,0.696,B,2017-01-02 15:26:40.400,131117051,518051,N,1504,,2017-01-02 01:22:00,2274.0,25.0,E,28,24051.0,0.0,0.0,7.0,0.0
439211,148020,31266051,4.0,0.7170000000000001,B,2017-01-02 15:32:50.457,131294051,17148,N,776,,2017-01-02 01:30:00,1168.0,20.0,N,28,71051.0,15.99,21.39,7.0,0.0
439218,60020,32973051,8.0,0.696,B,2017-01-02 16:22:25.237,131117051,643051,N,1464,,2017-01-02 01:38:00,2274.0,25.0,E,28,24051.0,0.0,0.0,7.0,0.0
439219,51020,9196051,6.0,0.7829999999999999,B,2017-01-02 16:34:37.997,115318051,900000008,N,1050,,2017-01-02 00:20:00,1602.0,20.0,N,28,29051.0,0.0,0.0,5.0,
439222,79120,29605051,8.0,0.521,B,2017-01-02 16:53:09.020,8087051,105079,N,1464,,2017-01-02 00:40:00,6024.0,35.0,N,28,68051.0,0.0,0.0,6.0,
