CodigoAglomerante;Idade;AbramsX;AbramsY;FCKFaixa1;DesvioFaixa1;DesvioTEFaixa1;FCKFaixa2;DesvioFaixa2;DesvioTEFaixa2;FCKFaixa3;DesvioFaixa3;DesvioTEFaixa3;FCKFaixa4;DesvioFaixa4;DesvioTEFaixa4;DesvioMaximo;DesvioTEMaximo;DataAlteracao
13051;0;14.763;1.035.000;18.00;5.00;NULL;25.00;4.50;NULL;34.00;4.20;NULL;NULL;NULL;NULL;5.00;NULL;2010-06-30 16:55:51.217
13051;28;-14.763;1.035.000;18.00;5.00;NULL;25.00;4.50;NULL;34.00;4.20;NULL;NULL;NULL;NULL;5.00;NULL;2010-06-30 16:55:51.233
14051;0;-13.574;815.450;20.00;3.00;NULL;25.00;3.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.50;NULL;2010-06-30 17:05:06.983
14051;28;-13.574;815.450;20.00;3.00;NULL;25.00;3.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.50;NULL;2010-06-30 17:05:07.000
3051;0;-14.763;1.035.000;18.00;5.00;NULL;25.00;4.50;NULL;34.00;4.20;NULL;NULL;NULL;NULL;5.00;NULL;2010-06-30 18:47:15.397
3051;28;-14.763;1.035.000;18.00;5.00;NULL;25.00;4.50;NULL;34.00;4.20;NULL;NULL;NULL;NULL;5.00;NULL;2010-06-30 18:47:15.427
14051;7;-17.938;917.450;25.00;3.50;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.00;NULL;2010-07-02 09:00:11.713
14051;7;-17.938;917.450;25.00;3.50;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.50;NULL;2010-07-02 09:02:32.867
3051;0;-14.763;1.035.000;18.00;5.00;NULL;25.00;4.50;NULL;34.00;4.20;NULL;NULL;NULL;NULL;5.00;NULL;2010-07-05 11:28:14.977
4051;0;-13.574;815.450;20.00;3.00;NULL;25.00;3.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.50;NULL;2010-07-05 11:31:09.187
5051;0;-14.821;848.940;18.00;3.50;NULL;25.00;3.50;NULL;34.00;3.50;NULL;NULL;NULL;NULL;3.50;NULL;2010-07-05 11:32:09.217
6051;0;-15.731;889.370;18.00;4.50;NULL;25.00;4.00;NULL;34.00;4.00;NULL;NULL;NULL;NULL;3.50;NULL;2010-07-05 11:32:48.777
7051;0;-13.574;815.450;20.00;3.00;NULL;25.00;3.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.50;NULL;2010-07-05 11:34:12.290
9051;0;-14.763;1.035.000;18.00;5.00;NULL;25.00;4.50;NULL;34.00;4.20;NULL;NULL;NULL;NULL;5.00;NULL;2010-07-05 11:41:41.523
