CodigoAglomerante;CodigoGrupoInsumo;CodigoInsumo;Percentual;DataAlteracao
13051;C;1;75;2010-06-30 16:55:51.140
13051;E;1;25;2010-06-30 16:55:51.157
14051;C;1;100;2010-06-30 17:05:06.983
15051;C;13;75;2010-08-11 09:34:57.147
15051;E;10;25;2010-08-11 09:34:57.160
16051;C;13;75;2010-11-08 10:48:24.457
16051;E;9;25;2010-11-08 10:48:24.457
17051;C;13;100;2010-12-30 13:00:21.820
18051;C;13;75;2010-12-30 13:27:13.853
18051;E;10;25;2010-12-30 13:27:13.853
19051;C;47;100;2011-02-24 10:43:28.213
15051;C;13;70;2011-03-07 09:59:07.673
15051;E;10;30;2011-03-07 09:59:07.707
18051;C;13;70;2011-03-07 15:22:07.620
18051;E;10;30;2011-03-07 15:22:07.633
22051;C;13;75;2011-05-06 11:09:33.767
22051;E;9;25;2011-05-06 11:09:33.813
23051;C;13;100;2011-05-06 11:13:49.427
13051;C;13;75;2011-07-04 14:55:34.850
21051;C;47;75;2011-07-08 09:28:33.263
18051;C;13;75;2011-08-09 18:15:50.667
18051;E;10;25;2011-08-09 18:15:50.730
15051;C;13;75;2011-08-10 10:42:26.473
15051;E;10;25;2011-08-10 10:42:26.503
15051;C;13;70;2011-08-20 15:11:15.853
15051;E;10;30;2011-08-20 15:11:15.867
18051;C;13;70;2011-08-20 15:12:38.753
18051;E;10;30;2011-08-20 15:12:38.770
24051;C;16;100;2011-09-02 15:57:28.340
25051;C;16;50;2011-09-02 16:00:06.420
25051;E;9;50;2011-09-02 16:00:06.437
18051;C;13;75;2011-09-30 05:58:44.093
18051;E;10;25;2011-09-30 05:58:44.153
15051;C;13;70;2011-10-06 06:26:28.390
15051;E;10;30;2011-10-06 06:26:28.420
18051;C;13;70;2011-10-06 06:28:44.077
18051;E;10;30;2011-10-06 06:28:44.090
18051;C;13;75;2011-10-08 13:02:58.547
18051;E;10;25;2011-10-08 13:02:58.560
15051;C;13;75;2011-11-14 16:40:37.123
20051;C;47;75;2011-03-15 14:19:19.880
20051;E;9;25;2011-03-15 14:19:19.897
20051;A;2;0;2011-03-15 14:19:19.897
20051;A;14;0;2011-03-15 14:19:19.897
20051;B;4;0;2011-03-15 14:19:19.913
20051;B;6;0;2011-03-15 14:19:19.913
21051;C;47;75;2011-03-15 14:29:04.417
21051;E;9;25;2011-03-15 14:29:04.417
15051;C;13;75;2011-10-08 12:59:54.420
15051;E;10;25;2011-10-08 12:59:54.450
1051;C;1;75;2009-06-18 16:09:37.423
1051;E;1;25;2009-06-18 16:09:37.423
1051;A;2;0;2009-06-18 16:09:37.440
1051;A;2;0;2009-06-18 16:09:37.440
1051;B;1;0;2009-06-18 16:09:37.457
2051;C;1;100;2009-07-21 18:43:31.333
2051;A;2;0;2009-07-21 18:43:31.350
2051;A;2;0;2009-07-21 18:43:31.350
2051;B;1;0;2009-07-21 18:43:31.350
3051;C;1;75;2009-09-11 09:23:18.020
3051;E;1;25;2009-09-11 09:23:18.033
4051;C;1;100;2009-09-11 09:30:43.220
5051;C;2;100;2009-09-11 09:39:02.880
6051;C;2;75;2009-09-11 09:40:44.703
6051;E;1;25;2009-09-11 09:40:44.703
7051;C;1;100;2009-09-11 09:44:26.307
8051;C;1;75;2009-09-11 09:49:40.200
8051;E;1;25;2009-09-11 09:49:40.200
9051;C;1;75;2009-09-11 09:51:20.887
9051;E;1;25;2009-09-11 09:51:20.900
10051;C;1;100;2009-09-11 09:54:26.973
11051;C;1;100;2009-09-11 09:57:52.687
12051;C;1;75;2009-09-11 09:59:47.417
12051;E;1;25;2009-09-11 09:59:47.433
15051;C;13;75;2011-10-06 05:56:21.873
15051;E;10;25;2011-10-06 05:56:21.890
12051;C;13;70;2012-04-16 07:45:08.797
12051;E;9;30;2012-04-16 07:45:08.827
26051;C;44;70;2012-04-16 09:26:33.967
26051;E;9;30;2012-04-16 09:26:33.967
27051;C;44;100;2012-04-16 11:09:50.030
