CodigoCentroSaida;CodigoAditivo1;PercentualAditivoConvencional1;PercentualReducaoConvencional1;PercentualAditivoBombeavel1;PercentualReducaoBombeavel1;CodigoAditivo2;PercentualAditivoConvencional2;PercentualReducaoConvencional2;PercentualAditivoBombeavel2;PercentualReducaoBombeavel2;ArIncorporado;DataAlteracao
80020;347;0.800;7.000;0.800;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-16 16:34:28.740
60020;347;0.800;4.000;0.800;4.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-16 16:51:20.717
80020;347;0.800;7.000;0.800;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-16 17:04:04.890
79020;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-16 18:11:53.767
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-17 09:06:31.257
79020;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 05:53:17.363
79020;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 06:05:25.177
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 06:07:05.790
79020;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 06:17:55.490
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 06:22:38.750
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 06:33:33.673
79020;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 06:35:23.157
60020;347;0.800;4.000;0.800;4.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 06:36:20.783
79120;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 06:43:29.023
51020;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 06:43:47.223
60020;347;0.800;4.000;0.800;4.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 06:51:39.003
51120;347;0.750;7.000;0.750;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 06:57:35.773
79020;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 07:01:21.720
79120;347;0.800;3.000;0.800;3.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 07:02:13.323
80020;347;0.800;7.000;0.800;7.000;10;0.050;0.000;0.001;0.000;96.000;2021-01-18 07:07:22.473
