CodigoCentroSaida;CodigoGrupoInsumo;CodigoInsumo;CodigoFornecedor;Ativo;DensidadeReal;DensidadeAparente;DataAlteracao
51020;A;2;200350;S;2.591;1.121;2010-06-30 13:09:55.970
51020;A;2;200350;S;2.591;1.121;2010-06-30 13:37:06.517
51020;B;2;200350;S;2.681;1.423;2010-06-30 13:38:10.140
51020;B;1;200350;S;2.741;1.470;2010-06-30 13:38:30.920
51020;B;2;200350;S;2.681;1.423;2010-06-30 13:38:41.170
60020;A;2;200350;S;2.688;1.330;2010-06-30 13:39:16.750
60020;D;36;200350;S;1.210;1.210;2010-06-30 13:39:55.407
60020;D;12;200350;S;1.125;1.125;2010-06-30 13:40:06.877
51120;A;2;200350;S;2.000;1.000;2010-06-30 15:56:14.177
51120;B;1;200350;S;2.000;1.000;2010-06-30 15:58:34.050
51120;C;1;200350;S;2.000;1.000;2010-06-30 16:00:30.437
51120;E;1;200350;S;3.150;1.350;2010-06-30 16:01:16.307
51120;B;1;200350;S;2.000;1.000;2010-06-30 16:02:27.163
51120;B;3;200350;S;2.000;1.000;2010-06-30 16:02:39.227
51120;B;1;200350;S;2.740;1.470;2010-06-30 16:37:21.453
51120;B;1;200350;S;2.740;1.470;2010-06-30 16:37:31.950
51120;C;1;200350;S;3.150;1.350;2010-06-30 16:38:39.917
51120;D;12;200350;S;1.125;1.125;2010-06-30 16:39:05.383
51120;E;1;200350;S;2.950;1.350;2010-06-30 16:39:24.197
51120;F;10;200350;S;1.000;1.000;2010-06-30 16:40:33.427
60020;E;2;200350;S;2.200;1.350;2010-06-30 18:06:25.610
60020;E;2;200350;S;2.200;1.350;2010-06-30 18:10:13.803
51020;A;2;200350;S;2.591;1.121;2010-06-30 18:37:07.377
79020;B;1;200350;S;2.741;1.470;2010-06-30 19:01:43.760
51020;F;1;200350;S;0.000;0.000;2010-06-30 19:02:08.653
80020;B;2;200350;S;2.681;1.423;2010-06-30 19:05:24.783
51020;C;47;200350;S;3.150;1.350;2010-07-01 07:30:13.907
