CodigoAglomerante;Ano;Mes;ParametroX;ParametroY;DataAlteracao
3051;2010;6;24.050;-0.2820;2010-07-09 08:47:36.923
3051;2010;6;24.050;-0.2820;2010-07-09 08:49:22.373
3051;2010;7;24.050;-0.2820;2010-07-09 08:53:40.973
4051;2010;7;19.276;-0.1830;2010-07-09 08:56:44.683
5051;2010;7;25.370;-0.3220;2010-07-09 08:57:42.057
6051;2010;7;22.750;-0.2090;2010-07-09 09:24:46.667
7051;2010;7;15.411;-0.0830;2010-07-09 09:27:07.803
8051;2010;7;27.060;-0.3850;2010-07-09 09:28:07.050
9051;2010;7;25.650;-0.3120;2010-07-09 09:30:55.230
10051;2010;7;19.520;-0.1990;2010-07-09 09:32:26.290
13051;2010;7;28.340;-0.3990;2010-07-09 09:36:01.843
14051;2010;7;19.520;-0.1990;2010-07-09 09:36:51.640
3051;2010;7;23.284;-0.2260;2010-07-12 11:04:32.110
12051;2010;7;22.950;-0.2216;2010-07-12 11:08:54.303
3051;2010;7;24.991;-0.3038;2010-07-17 12:28:05.220
4051;2010;7;19.138;-0.1793;2010-07-17 12:29:42.470
13051;2010;7;23.734;-0.2547;2010-07-17 12:30:37.127
14051;2010;7;19.138;-0.1793;2010-07-17 12:32:52.917
11051;2010;7;19.138;-0.1793;2010-07-17 12:34:41.780
9051;2010;7;26.218;-0.3391;2010-07-17 12:37:37.700
3051;2010;7;26.133;-0.3347;2010-07-30 17:41:20.217
8051;2010;7;28.508;-0.4124;2010-07-30 18:34:48.023
9051;2010;7;26.251;-0.3349;2010-07-30 18:50:53.143
3051;2010;7;26.133;-0.3347;2010-07-30 19:12:18.480
8051;2010;7;28.508;-0.4124;2010-07-30 19:15:25.110
9051;2010;7;26.251;-0.3349;2010-07-30 19:16:39.227
12051;2010;7;31.629;-0.5080;2010-08-02 08:30:32.067
12051;2010;7;22.950;-0.2220;2010-08-02 09:37:32.937
12051;2010;7;22.950;-0.2220;2010-08-02 09:41:42.450
3051;2010;8;26.133;-0.3347;2010-08-06 14:37:58.100
4051;2010;8;19.138;-0.1793;2010-08-06 15:20:10.520
7051;2010;8;15.411;-0.0830;2010-08-06 15:23:42.423
8051;2010;8;28.508;-0.4124;2010-08-06 15:24:26.767
9051;2010;8;26.251;-0.3349;2010-08-06 15:26:26.030
12051;2010;8;31.629;-0.5080;2010-08-06 15:31:09.370
13051;2010;8;23.734;-0.2547;2010-08-06 15:32:56.197
14051;2010;8;19.138;-0.1793;2010-08-06 15:34:24.870
15051;2010;8;26.251;-0.3349;2010-08-11 09:38:22.003
9051;2010;7;28.657;-0.3981;2010-08-21 12:52:57.200
9051;2010;8;28.657;-0.3981;2010-08-21 12:52:57.213
3051;2010;7;29.113;-0.4590;2010-08-28 09:19:23.523
3051;2010;8;29.113;-0.4590;2010-08-28 09:19:23.540
3051;2010;7;27.813;-0.4070;2010-08-28 09:22:10.393
3051;2010;8;27.813;-0.4070;2010-08-28 09:22:10.410
3051;2010;7;26.133;-0.3347;2010-08-28 09:26:36.370
3051;2010;8;26.133;-0.3347;2010-08-28 09:26:36.370
8051;2010;7;23.514;-0.2493;2010-08-28 09:44:17.277
8051;2010;8;23.514;-0.2493;2010-08-28 09:44:17.290
11051;2010;7;28.693;-0.4285;2010-08-28 10:00:27.840
11051;2010;8;28.693;-0.4285;2010-08-28 10:00:27.857
11051;2010;7;19.138;-0.1793;2010-08-28 10:09:54.350
11051;2010;8;19.138;-0.1793;2010-08-28 10:09:54.363
11051;2010;7;19.138;-0.1793;2010-08-28 10:12:35.550
11051;2010;8;19.138;-0.1793;2010-08-28 10:12:35.567
11051;2010;7;31.361;-0.5370;2010-08-28 10:14:47.237
11051;2010;8;31.361;-0.5370;2010-08-28 10:14:47.250
11051;2010;7;19.138;-0.1793;2010-08-28 10:16:07.890
11051;2010;8;19.138;-0.1793;2010-08-28 10:16:07.907
11051;2010;7;19.138;-0.1793;2010-08-28 10:22:11.917
11051;2010;8;19.138;-0.1793;2010-08-28 10:22:11.933
11051;2010;7;30.347;-0.4912;2010-08-28 10:38:22.483
11051;2010;8;30.347;-0.4912;2010-08-28 10:38:22.500
12051;2010;7;31.629;-0.5080;2010-08-28 11:03:11.200
12051;2010;8;31.629;-0.5080;2010-08-28 11:03:11.213
12051;2010;7;30.583;-0.4114;2010-08-28 11:05:13.777
12051;2010;8;30.583;-0.4714;2010-08-28 11:05:13.790
12051;2010;7;31.629;-0.5080;2010-08-28 11:06:20.353
12051;2010;8;31.629;-0.5080;2010-08-28 11:06:20.367
12051;2010;7;31.629;-0.5080;2010-08-28 11:09:23.147
12051;2010;8;31.629;-0.5080;2010-08-28 11:09:23.163
12051;2010;7;26.456;-0.3457;2010-08-28 11:11:42.927
12051;2010;8;26.456;-0.3457;2010-08-28 11:11:42.943
12051;2010;7;29.015;-0.4251;2010-08-28 11:16:17.143
12051;2010;8;29.015;-0.4251;2010-08-28 11:16:17.157
13051;2010;9;23.734;-0.2547;2010-09-01 11:08:27.277
4051;2010;9;19.138;-0.1793;2010-09-01 11:13:00.260
5051;2010;9;25.370;-0.3220;2010-09-01 11:14:31.180
14051;2010;9;19.138;-0.1793;2010-09-01 11:19:41.050
7051;2010;9;15.411;-0.0836;2010-09-01 11:22:03.313
15051;2010;9;26.251;-0.3349;2010-09-01 11:34:07.663
10051;2010;8;31.383;-0.5193;2010-09-03 15:57:05.817
10051;2010;9;31.383;-0.5193;2010-09-03 15:57:05.830
10051;2010;8;19.300;-0.1793;2010-09-03 15:59:49.420
10051;2010;9;19.300;-0.1793;2010-09-03 15:59:49.437
9051;2010;8;31.383;-0.5193;2010-09-03 16:01:22.903
9051;2010;9;31.383;-0.5193;2010-09-03 16:01:22.920
9051;2010;8;28.657;-0.3981;2010-09-03 16:12:15.817
9051;2010;9;28.657;-0.3981;2010-09-03 16:12:15.833
15051;2010;8;26.251;-0.3349;2010-09-03 16:27:22.853
15051;2010;9;26.251;-0.3349;2010-09-03 16:27:22.870
12051;2010;8;28.176;-0.4196;2010-09-03 16:49:51.510
12051;2010;9;28.176;-0.4196;2010-09-03 16:49:51.523
11051;2010;7;17.148;-0.0950;2010-07-09 09:34:21.910
12051;2010;7;27.050;-0.3850;2010-07-09 09:35:14.410
12051;2010;7;26.297;-0.3380;2010-08-28 11:01:38.183
12051;2010;8;26.297;-0.3380;2010-08-28 11:01:38.200
12051;2010;7;25.768;-0.3231;2010-08-28 11:07:50.853
12051;2010;8;25.768;-0.3231;2010-08-28 11:07:50.867
8051;2010;9;23.514;0.2493;2010-09-01 11:27:23.293
12051;2010;8;26.027;-0.3409;2010-09-03 16:52:48.897
12051;2010;9;26.027;-0.3409;2010-09-03 16:52:48.913
12051;2010;8;26.521;-0.3489;2010-09-16 08:23:04.160
12051;2010;9;26.521;-0.3489;2010-09-16 08:23:04.207
12051;2010;8;31.030;-0.4873;2010-09-16 08:27:41.690
12051;2010;9;31.030;-0.4873;2010-09-16 08:27:41.707
12051;2010;8;26.027;-0.3409;2010-09-16 08:29:17.187
12051;2010;9;26.027;-0.3409;2010-09-16 08:29:17.203
12051;2010;8;26.027;-0.3409;2010-09-16 08:37:49.287
12051;2010;9;26.027;-0.3409;2010-09-16 08:37:49.300
12051;2010;8;26.411;-0.3312;2010-09-16 08:38:33.267
12051;2010;9;26.411;-0.3312;2010-09-16 08:38:33.283
13051;2010;8;20.574;-0.1938;2010-09-17 19:23:25.473
13051;2010;9;20.574;-0.1938;2010-09-17 19:23:25.490
13051;2010;8;23.734;-0.2547;2010-09-17 19:30:56.230
13051;2010;9;23.734;-0.2547;2010-09-17 19:30:56.247
15051;2010;8;25.873;-0.3872;2010-09-23 15:16:17.820
15051;2010;9;25.873;-0.3872;2010-09-23 15:16:17.837
15051;2010;8;26.251;-0.3349;2010-09-23 15:19:03.840
15051;2010;9;26.251;-0.3349;2010-09-23 15:19:03.857
15051;2010;8;25.220;-0.3560;2010-09-23 15:21:36.043
15051;2010;9;25.220;-0.3560;2010-09-23 15:21:36.060
15051;2010;8;24.219;-0.3369;2010-09-23 15:47:07.840
15051;2010;9;24.219;-0.3369;2010-09-23 15:47:07.853
15051;2010;8;24.167;-0.3338;2010-09-23 15:51:53.950
15051;2010;9;24.167;-0.3338;2010-09-23 15:51:53.980
15051;2010;8;24.361;-0.3382;2010-09-23 16:01:47.713
15051;2010;9;24.361;-0.3382;2010-09-23 16:01:47.730
15051;2010;8;22.802;-0.2869;2010-09-23 16:35:28.720
15051;2010;9;22.802;-0.2869;2010-09-23 16:35:28.737
15051;2010;8;26.251;-0.3349;2010-09-23 16:46:17.907
15051;2010;9;26.251;-0.3349;2010-09-23 16:46:17.923
15051;2010;8;23.799;-0.3233;2010-09-23 17:10:42.800
15051;2010;9;23.799;-0.3233;2010-09-23 17:10:42.800
15051;2010;8;26.251;-0.3349;2010-09-23 17:12:49.120
15051;2010;9;26.251;-0.3349;2010-09-23 17:12:49.120
15051;2010;8;23.607;-0.3168;2010-09-24 08:35:22.950
15051;2010;9;23.607;-0.3168;2010-09-24 08:35:22.963
15051;2010;8;25.360;-0.3604;2010-09-24 08:41:09.667
15051;2010;9;25.360;-0.3604;2010-09-24 08:41:09.680
15051;2010;8;24.306;-0.3327;2010-09-24 08:51:13.277
15051;2010;9;24.306;-0.3327;2010-09-24 08:51:13.290
