CodigoReceita;Idade;TipoTraco;CodigoAglomerante;FCK;RelacaoAguaCimento
64051;28;N;3051;40.00;0.472
65051;28;N;8051;40.00;0.534
66051;28;N;41051;40.00;0.511
67051;28;N;12051;40.00;0.529
2750051;28;N;18051;40.00;0.504
2989051;28;N;15051;40.00;0.504
5092051;28;N;25051;40.00;0.460
5264051;28;N;15051;40.00;0.514
5265051;28;N;18051;40.00;0.514
17217051;28;N;43051;40.00;0.468
17219051;28;N;4051;40.00;0.581
18178051;28;N;45051;40.00;0.486
21212051;28;N;41051;40.00;0.459
21214051;28;N;18051;40.00;0.494
26586051;28;N;65051;40.00;0.457
27283051;28;N;10051;40.00;0.479
27285051;28;N;10051;40.00;0.547
27287051;28;N;63051;40.00;0.438
27289051;28;N;63051;40.00;0.458
27291051;28;N;41051;40.00;0.459
27293051;28;N;41051;40.00;0.449
29271051;28;N;68051;40.00;0.487
30485051;28;N;70051;40.00;0.582
32221051;28;N;66051;40.00;0.526
55851051;28;N;117051;40.00;0.594
55852051;28;N;118051;40.00;0.594
55855051;28;N;108051;40.00;0.669
55856051;28;N;109051;40.00;0.669
60051;28;N;3051;35.00;0.540
61051;28;N;8051;35.00;0.608
62051;28;N;41051;35.00;0.584
63051;28;N;12051;35.00;0.519
2748051;28;N;18051;35.00;0.574
4524051;28;N;13051;35.00;0.566
5090051;28;N;25051;35.00;0.510
5261051;28;N;15051;35.00;0.603
5262051;28;N;18051;35.00;0.590
6117051;28;N;19051;35.00;0.481
7473051;28;N;15051;35.00;0.571
8180051;28;N;26051;35.00;0.566
11642051;28;N;4051;35.00;0.656
12300051;28;N;10051;35.00;0.627
18930051;28;N;14051;35.00;0.637
18932051;28;N;10051;35.00;0.544
18934051;28;N;17051;35.00;0.606
19592051;28;N;44051;35.00;0.559
21328051;28;N;59051;35.00;0.496
23837051;28;N;15051;35.00;0.585
26562051;28;N;65051;35.00;0.503
27169051;28;N;41051;35.00;0.522
27171051;28;N;10051;35.00;0.544
27173051;28;N;10051;35.00;0.599
27175051;28;N;41051;35.00;0.500
27422051;28;N;63051;35.00;0.510
27424051;28;N;63051;35.00;0.522
28573051;28;N;29051;35.00;0.581
28575051;28;N;3051;35.00;0.533
29195051;28;N;68051;35.00;0.566
29744051;28;N;71051;35.00;0.562
29746051;28;N;70051;35.00;0.553
30483051;28;N;70051;35.00;0.633
32198051;28;N;66051;35.00;0.583
32382051;28;N;62051;35.00;0.598
34835051;28;N;68051;35.00;0.598
35967051;28;N;79051;35.00;0.594
37783051;28;N;75051;35.00;0.573
38492051;28;N;85051;35.00;0.553
38727051;28;N;88051;35.00;0.529
40080051;28;N;93051;35.00;0.555
42984051;28;N;11051;35.00;0.671
53180051;28;N;111051;35.00;0.591
53181051;28;N;61051;35.00;0.667
53184051;28;N;117051;35.00;0.655
53219051;28;N;108051;35.00;0.727
53223051;28;N;109051;35.00;0.727
53308051;28;N;117051;35.00;0.649
53309051;28;N;118051;35.00;0.655
56856051;28;N;109051;35.00;0.768
56051;28;N;3051;30.00;0.605
57051;28;N;8051;30.00;0.696
58051;28;N;41051;30.00;0.689
59051;28;N;12051;30.00;0.577
906051;28;N;13051;30.00;0.630
