,CodigoReceita,Volume,TipoLancamento,QuantidadeAgua,ConsumoTotal,TipoTraco,FCK,Rompimento7Dias,Rompimento28Dias,ResultadoEsperado
2781,23009051,8.0,B,1368.0,2480.0,N,25.0,20.66,29.42,43.601321191946
2782,23009051,8.0,B,1368.0,2480.0,N,25.0,21.54,32.7,43.601321191946
2785,23009051,8.0,B,1368.0,2480.0,N,25.0,18.46,28.26,43.601321191946
2786,23009051,8.0,B,1368.0,2480.0,N,25.0,19.59,30.59,43.601321191946
2787,23009051,8.0,B,1368.0,2480.0,N,25.0,,,43.601321191946
2789,23009051,8.0,B,1368.0,2480.0,N,25.0,20.19,30.2,43.601321191946
2793,23009051,8.0,B,1344.0,2480.0,N,25.0,20.34,29.47,44.456879106101844
2794,23009051,8.0,B,1344.0,2480.0,N,25.0,,,44.456879106101844
2796,23009051,7.0,B,1176.0,2170.0,N,25.0,21.31,31.77,44.456879106101844
2799,23009051,7.0,B,1176.0,1981.0,N,25.0,20.81,32.23,40.072803753575535
2802,23009051,8.0,B,1360.0,2264.0,N,25.0,16.01,25.82,39.508153995487156
2803,23009051,8.0,B,1360.0,2264.0,N,25.0,16.36,24.98,39.508153995487156
2805,23009051,8.0,B,1360.0,2264.0,N,25.0,16.93,28.82,39.508153995487156
2806,23009051,8.0,B,1360.0,2264.0,N,25.0,16.49,26.78,39.508153995487156
2808,23009051,8.0,B,1288.0,2304.0,N,25.0,18.13,29.42,42.956947120098995
2810,23009051,8.0,B,1288.0,2304.0,N,25.0,18.36,29.84,42.956947120098995
2811,23009051,8.0,B,1288.0,2304.0,N,25.0,23.46,35.47,42.956947120098995
2812,23009051,8.0,B,1288.0,2304.0,N,25.0,20.46,33.76,42.956947120098995
2813,23009051,8.0,B,1288.0,2304.0,N,25.0,18.31,31.71,42.956947120098995
2814,23009051,8.0,B,1288.0,2304.0,N,25.0,17.86,29.42,42.956947120098995
2816,23009051,8.0,B,1288.0,2304.0,N,25.0,18.84,29.86,42.956947120098995
2820,23009051,8.0,B,1376.0,2304.0,N,25.0,21.17,30.91,39.785556321091086
2822,23009051,8.0,B,1376.0,2304.0,N,25.0,19.95,31.91,39.785556321091086
